City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,saint charles,38.7667,-90.7335,294.0,68,0,2.68,US,1697171475
83,tura,25.5198,90.2201,301.58,55,0,1.48,IN,1697171656
84,makokou,0.5738,12.8642,293.56,99,83,0.69,GA,1697171656
85,ancud,-41.8697,-73.8203,278.69,87,35,1.58,CL,1697171656
86,al buraymi,24.2509,55.7931,304.83,13,0,2.06,OM,1697171656
87,mariinsk,56.2139,87.7472,279.82,74,77,4.02,RU,1697171656
88,margherita,27.2833,95.6833,301.58,70,6,1.06,IN,1697171656
89,tazacorte,28.629,-17.9293,301.01,27,0,4.92,ES,1697171656
90,bethel,41.3712,-73.414,286.08,84,0,2.06,US,1697171543
91,kruisfontein,-34.0033,24.7314,286.68,92,71,12.64,ZA,1697171656
92,tumaco,1.7986,-78.8156,297.73,88,47,1.22,CO,1697171656
93,papatowai,-46.5619,169.4708,290.2,49,24,5.05,NZ,1697171657
94,stanley,54.868,-1.6985,281.92,93,20,2.57,GB,1697171625
95,iqaluit,63.7506,-68.5145,272.0,86,75,1.54,CA,1697171365
96,carnarvon,-24.8667,113.6333,305.01,36,27,5.09,AU,1697171657
97,cartagena,10.3997,-75.5144,300.94,94,20,2.06,CO,1697171657
98,tual,-5.6667,132.75,300.42,82,50,4.94,ID,1697171657
99,mugia,43.1041,-9.2179,295.32,94,98,10.11,ES,1697171657
100,port mathurin,-19.6833,63.4167,296.31,79,35,4.05,MU,1697171657
101,katsuura,35.1333,140.3,294.0,49,0,6.51,JP,1697171657
102,heniches'k,46.1759,34.8034,285.29,72,64,3.69,UA,1697171657
103,roshchino,60.2519,29.6085,280.91,78,25,7.02,RU,1697171657
104,kailua-kona,19.6406,-155.9956,300.13,81,75,2.06,US,1697171657
105,tostado,-29.232,-61.7692,284.25,51,0,3.29,AR,1697171658
106,navirai,-23.065,-54.1906,290.07,79,98,3.38,BR,1697171658
107,san antonio de pale,-1.4014,5.6325,298.74,82,96,6.01,GQ,1697171658
108,sarande,39.8756,20.0053,290.0,77,0,1.19,AL,1697171411
109,hawaiian paradise park,19.5933,-154.9731,298.88,91,40,4.12,US,1697171658
110,acarau,-2.8856,-40.12,299.53,79,20,7.6,BR,1697171658
111,susuman,62.7833,148.1667,264.25,69,39,0.45,RU,1697171658
112,emerald,-23.5333,148.1667,307.23,18,0,3.38,AU,1697171658
113,port elizabeth,-33.918,25.5701,288.88,92,40,9.26,ZA,1697171658
114,bredasdorp,-34.5322,20.0403,284.85,82,0,2.21,ZA,1697171658
115,san luis de la loma,17.2706,-100.8939,298.47,89,28,1.85,MX,1697171658
116,hefei,31.8639,117.2808,297.16,46,75,2.0,CN,1697171658
117,fort bragg,35.139,-79.006,287.54,97,0,0.0,US,1697171658
118,blackwater,-23.5833,148.8833,306.87,18,0,3.67,AU,1697171658
119,duluth,46.7833,-92.1066,284.98,74,100,8.23,US,1697171538
120,west island,-12.1568,96.8225,301.14,69,75,7.2,CC,1697171659
121,tataouine,32.9297,10.4518,291.56,65,0,1.03,TN,1697171659
122,barra de santo antonio,-9.4047,-35.5072,297.75,87,22,4.36,BR,1697171372
123,dwarka,22.2394,68.9678,301.59,67,1,2.77,IN,1697171659
124,puerto ayora,-0.7393,-90.3518,296.58,85,44,3.45,EC,1697171659
125,faya-largeau,17.9257,19.1043,300.54,24,34,8.27,TD,1697171659
126,ribeira grande,38.5167,-28.7,291.91,88,100,3.13,PT,1697171659
127,tsiombe,-25.3,45.4833,298.59,65,24,4.44,MG,1697171659
128,gisborne,-38.6533,178.0042,291.83,59,0,4.64,NZ,1697171471
129,port saint john's,-31.6229,29.5448,291.19,73,0,1.67,ZA,1697171659
130,puerto colombia,10.9878,-74.9547,298.2,78,13,0.93,CO,1697171659
131,williams lake,52.1415,-122.1445,282.91,73,0,3.6,CA,1697171659
132,st. john's,47.5649,-52.7093,285.46,99,100,1.54,CA,1697171600
133,weihai,37.5017,122.1136,293.34,51,99,2.79,CN,1697171660
134,thompson,55.7435,-97.8558,275.24,100,0,0.0,CA,1697171660
135,kombissiri,12.0656,-1.3375,299.14,72,99,2.82,BF,1697171660
136,puerto cabezas,14.0351,-83.3888,300.3,89,22,3.01,NI,1697171660
137,antofagasta,-23.65,-70.4,288.75,85,43,0.95,CL,1697171660
138,mahriz,31.5917,54.4318,290.43,46,1,0.77,IR,1697171660
139,manhush,47.0558,37.3107,283.76,67,62,2.28,UA,1697171660
140,robore,-18.3333,-59.75,290.05,76,95,2.49,BO,1697171660
141,ust'-ordynskiy,52.805,104.7508,288.89,28,81,4.09,RU,1697171660
142,santa marta,11.2408,-74.199,300.87,79,10,1.79,CO,1697171430
143,isiro,2.7739,27.616,293.17,94,18,0.54,CD,1697171660
144,anadyr,64.75,177.4833,276.43,86,75,6.0,RU,1697171661
